Resident Town ID ,District ID,Resident Town ,Sent to District ,School Year,School Type ,PK,K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Total
148,101,Wallingford,North Haven School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
148,148,Wallingford,Wallingford School District,2010-11,,143,394,503,462,479,467,457,470,529,504,408,462,486,481,6245
148,148,Wallingford,Wallingford School District,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,33,18,12,11,74
148,154,Wallingford,Westbrook School District,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
149,900,Warren,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,2,2,1,4,9
149,206,Warren,Regional School District 06,2010-11,,1,17,15,3,16,15,17,10,16,10,10,13,15,7,165
149,206,Warren,Regional School District 06,2010-11, Voag,0,0,0,0,0,0,0,0,0,0,4,2,3,1,10
150,244,Washington,Area Cooperative Educational Services,2010-11,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
150,900,Washington,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5
150,212,Washington,Regional School District 12,2010-11,,6,20,21,31,26,32,34,29,36,27,40,34,32,36,404
150,215,Washington,Regional School District 15,2010-11,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
151,244,Waterbury,Area Cooperative Educational Services,2010-11,,0,0,0,1,0,0,1,0,1,1,1,1,1,8,15
151,244,Waterbury,Area Cooperative Educational Services,2010-11, Magnet School,0,0,0,0,0,0,0,1,3,1,0,0,0,0,5
151,287,Waterbury,Charter School for Young Children on Asylum Hill,2010-11,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,268,Waterbury,Common Ground High School District,2010-11,,0,0,0,0,0,0,0,0,0,0,3,1,1,1,6
151,900,Waterbury,Connecticut Technical High School System,2010-11,,0,0,0,0,0,0,0,0,0,0,131,130,134,106,501
151,064,Waterbury,Hartford School District,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
151,064,Waterbury,Hartford School District,2010-11, Open Choice ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
151,245,Waterbury,Learn,2010-11, Magnet School,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
151,089,Waterbury,New Britain School District,2010-11,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
