,,,,,,,,,,,,,,,,,,,,,,
resident.town.id,resident.town,,private.school.location,year,,private.school.total,PK,K,G1,G2,G3,,G4,G5,G6,G7,G8,G9,G10,G11,G12,
5,Barkhamsted,,New Preston,2010-11,,2,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,
5,Barkhamsted,,Newington,2010-11,,2,0,0,0,0,0,,0,0,0,0,1,0,1,0,0,
5,Barkhamsted,,Plainville,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,
5,Barkhamsted,,Simsbury,2010-11,,2,0,0,0,0,0,,0,0,2,0,0,0,0,0,0,
5,Barkhamsted,,Torrington,2010-11,,2,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,
5,Barkhamsted,,Wallingford,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
5,Barkhamsted,,West Hartford,2010-11,,4,0,0,0,0,0,,0,0,0,0,2,2,0,0,0,
5,Barkhamsted,,West Simsbury,2010-11,,4,3,0,0,0,0,,0,0,0,0,0,0,0,1,0,
5,Barkhamsted,,Winsted,2010-11,,11,0,1,0,2,2,,3,0,2,0,1,0,0,0,0,
6,Beacon Falls,,Ansonia,2010-11,,6,2,2,0,2,0,,0,0,0,0,0,0,0,0,0,
6,Beacon Falls,,Bridgeport,2010-11,,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,
6,Beacon Falls,,Cheshire,2010-11,,2,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,
6,Beacon Falls,,Fairfield,2010-11,,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,
6,Beacon Falls,,Naugatuck,2010-11,,3,1,1,0,0,0,,0,0,0,1,0,0,0,0,0,
6,Beacon Falls,,Newtown,2010-11,,3,0,0,0,1,0,,2,0,0,0,0,0,0,0,0,
6,Beacon Falls,,Plainville,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,
6,Beacon Falls,,Stratford,2010-11,,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,
6,Beacon Falls,,Union City,2010-11,,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,
6,Beacon Falls,,Waterbury,2010-11,,8,1,2,0,0,0,,0,0,0,0,0,1,3,1,0,
6,Beacon Falls,,Watertown,2010-11,,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,
6,Beacon Falls,,West Hartford,2010-11,,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,
6,Beacon Falls,,West Haven,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,
7,Berlin,,Avon,2010-11,,6,0,0,0,0,0,,0,0,0,0,0,1,1,3,1,
7,Berlin,,Bristol,2010-11,,4,0,0,0,0,0,,0,0,0,0,0,1,2,0,1,
7,Berlin,,Fairfield,2010-11,,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,
7,Berlin,,Farmington,2010-11,,2,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,
