town.name,households,mhi12,mfi12,pci12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisbon,1651,80539,90110,36803,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litchfield,3326,84063,104375,43414,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyme,1047,86250,115694,70267,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,6738,107062,139200,53753,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester,24453,63656,77615,33512,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mansfield,5835,67615,94405,20977,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlborough,2229,110718,113564,44766,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meriden,23787,53831,62041,26761,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlebury,2797,97996,107188,44364,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlefield,1677,87463,106053,40201,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middletown,19792,60542,81497,32205,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford,21071,79531,99085,39882,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe,6530,112605,129099,48380,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montville,6987,67262,83458,29051,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morris,967,89688,100673,37172,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naugatuck,12461,62574,76846,29789,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Britain,28103,39898,47032,20601,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Canaan,6770,167037,227279,98693,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Fairfield,4781,98209,112105,39940,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hartford,2680,85598,97056,38098,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Haven,49308,38482,46145,23026,,,,,,,,,,,,,,,,,,,,,,,,,,,
New London,10376,44106,50971,22157,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Milford,10722,84110,96426,42464,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newington,12699,75237,87049,36209,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newtown,9107,116024,128571,47221,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk,624,78214,101000,44974,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Branford,5568,82460,96259,39264,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Canaan,1356,45992,61458,25553,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Haven,8909,83089,97543,38394,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Stonington,2087,81434,93273,39332,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwalk,36717,75446,96664,45620,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwich,16645,51304,63182,27903,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Lyme,3149,92175,107701,49371,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Saybrook,4400,78227,101054,44614,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,4844,106372,124625,48196,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford,4420,107308,118221,44029,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plainfield,5592,62775,73130,25756,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plainville,7591,61766,80649,31392,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth,4739,73603,86204,31407,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomfret,1552,82661,96641,39712,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,3731,92344,107623,42447,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preston,1854,76296,82083,33497,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect,3280,95325,102083,36385,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putnam,3723,46440,56477,23526,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redding,3519,120223,158533,63081,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridgefield,8641,148104,168513,77535,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Hill,8109,76128,95747,39785,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxbury,994,97031,121000,61204,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem,1526,100375,108417,41657,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salisbury,1498,65625,94167,45882,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,619,77634,81250,31576,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seymour,6313,73099,92350,33030,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon,1247,76117,85114,48922,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelton,15019,83755,102459,40559,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherman,1350,118750,136060,55920,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simsbury,8663,117577,143355,57069,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somers,3354,100100,109787,34655,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Windsor,9384,91519,106016,40318,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southbury,8022,67195,105057,42012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southington,17026,78668,99907,37876,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprague,1317,67415,77378,32250,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stafford,4650,63672,72674,28445,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stamford,45196,76797,90647,43408,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling,1270,67794,68969,26825,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonington,7667,80666,100727,44483,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratford,20169,67375,85361,33805,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffield,4984,92019,107404,39646,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomaston,3192,67426,83096,33123,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thompson,3618,63385,75652,29044,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolland,5459,103358,117646,44177,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrington,15335,50548,67034,27762,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trumbull,12140,108667,126342,44885,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union,350,83500,86875,34546,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon,13271,61848,77894,34483,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voluntown,1004,74032,75905,32718,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallingford,17113,75467,94375,36244,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren,604,96250,99250,52310,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,1483,75865,90667,52826,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterbury,42241,40867,48407,21703,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterford,7989,75270,97686,38894,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watertown,8578,80899,97433,36503,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Hartford,25094,81588,107278,46234,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Haven,21878,51911,64693,27040,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westbrook,2875,63885,86250,38303,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,3213,213423,"250,000+",92022,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westport,9382,152586,182734,88920,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wethersfield,11123,76196,98235,39663,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willington,2337,70013,105308,30773,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilton,6005,161906,198636,78574,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winchester,4620,60994,72135,29044,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windham,8957,41007,49432,20119,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor,10698,77377,90410,35594,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor Locks,5298,62640,73017,33313,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolcott,5947,80655,89183,34814,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodbridge,3364,137216,155694,69179,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodbury,4204,80167,101063,44020,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodstock,3081,81705,102008,37611,,,,,,,,,,,,,,,,,,,,,,,,,,,
